Ward_ID,Ward_Name,population_total,population_density,elderly_pct,sc_st_pct,literacy_pct,outdoor_worker_density,slum_density,healthcare_access,ndvi_green_cover
1,Ramol Hathijan,,,,,,,,,
2,Vatva,,,,,,,,,
3,Lambha,,,,,,,,,
4,Isanpur,,,,,,,,,
5,Khokhra,,,,,,,,,
6,Bhaipura Hatkeshwar,,,,,,,,,
7,Indrapuri,,,,,,,,,
8,Vastral,,,,,,,,,
9,Odhav,,,,,,,,,
10,Amraiwadi,,,,,,,,,
11,Gomtipur,,,,,,,,,
12,Maninagar,,,,,,,,,
13,Danilimda,,,,,,,,,
14,Baherampura,,,,,,,,,
15,Maktampura,,,,,,,,,
16,Sarkhej,,,,,,,,,
17,Vejalpur,,,,,,,,,
18,Vasna,,,,,,,,,
19,Paldi,,,,,,,,,
20,Jamalpur,,,,,,,,,
21,Khadia,,,,,,,,,
22,Saraspur-Rakhiyal,,,,,,,,,
23,Bapunagar,,,,,,,,,
24,Viratnagar,,,,,,,,,
25,Nikol,,,,,,,,,
26,Thakkarbapanagar,,,,,,,,,
27,India Colony,,,,,,,,,
28,Dariyapur,,,,,,,,,
29,Jodhpur,,,,,,,,,
30,Bodakdev,,,,,,,,,
31,Navrangpura,,,,,,,,,
32,Shahpur,,,,,,,,,
33,Shahibag,,,,,,,,,
34,Asarwa,,,,,,,,,
35,Kubernagr,,,,,,,,,
36,Saijpur Bogha,,,,,,,,,
37,Naroda,,,,,,,,,
38,Sardarnagar,,,,,,,,,
39,S.P.Stadium,,,,,,,,,
40,Naranpura,,,,,,,,,
41,Thaltej,,,,,,,,,
42,Ghatlodia,,,,,,,,,
43,New Wadaj,,,,,,,,,
44,Ranip,,,,,,,,,
45,Sabarmati,,,,,,,,,
46,Chandkheda,,,,,,,,,
47,Chandlodia,,,,,,,,,
48,Gota,,,,,,,,,
